adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/6TjllWT3cGrPFyqDXurVZ3L8bBi.jpg,"[9648, 53, 18]",745,en,The Sixth Sense,"Following an unexpected tragedy, child psychologist Malcolm Crowe meets a nine year old boy named Cole Sear, who is hiding a dark secret.",9.8448,/vOyfUXNFSnaTk7Vk5AjpsKTUWsu.jpg,1999-08-06,The Sixth Sense,False,8.0,12200
False,/rmiG2uwcNoGFmBKMoa1pIcf514L.jpg,"[35, 18]",37165,en,The Truman Show,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,12.1762,/vuza0WqY239yBXOadKlGwJsZJFE.jpg,1998-06-04,The Truman Show,False,8.149,19221
False,/muSeX7fnNw0pv4zHK7RSwZln6Hk.jpg,"[18, 10402]",10376,it,La leggenda del pianista sull'oceano,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",3.0042,/iOcbJ5pxokOPDRgieVDbsFMrCc6.jpg,1998-10-28,The Legend of 1900,False,8.25,2339
False,/vx5Mla7OfNzibnVat2HQuqGrUkc.jpg,"[35, 10749, 80]",1075,sr,"Crna mačka, beli mačor","Matko is a small time hustler, living by the Danube with his 17-year-old son Zare. After a failed business deal he owes money to the much more successful gangster Dadan. Dadan has a sister, Afrodita, that he desperately wants to see get married so they strike a deal: Zare is to marry her.",2.1614,/xxQ9jgYf3xhbUTW98VtCjA1wMLv.jpg,1998-06-01,"Black Cat, White Cat",False,7.7,771
False,/ti6kJ80ZB8RZTiDIzPkhaCJMoqq.jpg,"[35, 80]",115,en,The Big Lebowski,"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",8.2136,/9mprbw31MGdd66LR0AQKoDMoFRv.jpg,1998-03-06,The Big Lebowski,False,7.838,11645
False,/wUc83y8kXNdRK66o0HU5X8eBri4.jpg,"[18, 80]",627,en,Trainspotting,"Hilarious but harrowing, the film charts the disintegration of the friendship between Renton, Spud, Sick Boy, Tommy and Begbie as they proceed seemingly towards a psychotic, drug-fuelled self-destruction.",5.1384,/1jUC02qsqS2NxBMFarbIhcQtazV.jpg,1996-02-23,Trainspotting,False,7.961,9982
False,/747dgDfL5d8esobk7h4odaOFhUq.jpg,"[80, 18, 53]",275,en,Fargo,"Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!",10.1917,/rt7cpEr1uP6RTZykBFhBTcRaKvG.jpg,1996-03-08,Fargo,False,7.851,8529
False,,[28],17318,en,Underground,"In the UK suburbs, an underground tournament is set to challenge twelve fighters from different backgrounds to compete for the price of £500,000. They have been handpicked for a no-holds barred competition that will push each fighter to their limit. Each fighter has their own reason for competing, and each will give everything they've got to take the prize...but there can be only one winner.",0.7231,/zaWVpk2COx93OHq9Vz41xl0Sij7.jpg,2007-01-01,Underground,False,4.2,14
False,/k61xLJgPo7ScxHLLiBzTM9IDaB7.jpg,[18],406,fr,La Haine,"After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.",4.5473,/fFVWBMKLwwPh9K0hkrKwPUf8mwn.jpg,1995-05-31,La Haine,False,8.085,4268
False,/90ez6ArvpO8bvpyIngBuwXOqJm5.jpg,"[35, 18, 10749]",19404,hi,दिलवाले दुल्हनिया ले जायेंगे,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",6.5822,/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,1995-10-20,Dilwale Dulhania Le Jayenge,False,8.515,4504
False,/pZcoSJUb3Lgr9Rzg2shg1PtTBP9.jpg,"[18, 9648, 10749]",110,fr,Trois couleurs : Rouge,"Part-time model Valentine unexpectedly befriends a retired judge after she runs over his dog. At first, the grumpy man shows no concern about the dog, and Valentine decides to keep it. But the two form a bond when she returns to his house and catches him listening to his neighbors’ phone calls.",2.7043,/JHmsBiX1tjCKqAul1lzC20WcAW.jpg,1994-05-12,Three Colors: Red,False,7.912,1460
